created_at,full_text,is_quote_status,retweet_count,favorite_count,possibly_sensitive,Attentive,Alert,Determined,Inspired,Active,Hostile,Ashamed,Upset,Afraid,Nervous,Positive_affect,Negative_affect,OriginalText,SWB,is_reply,days_since_COVID19,hour,url_count,mentions_count,questionmark_count,exclamationmark_count,points_count,uppercase_ratio,hashtag_count,clean_text,neg,neu,pos,compound,TextBlob_score
2020-01-26 18:40:19+00:00,Fear will make people say (and act) things they normally wouldn't say (or do). That's human nature. I hope in 2020 you're bracing for something that'll not happen. If it does don't be so quick to label the other person. Keep in mind fear is driving their behavior. CoronaOutbreak,False,0,2,False,3.0,2.5,1.0,1.0,2.0,2.0,2.0,3.5,4.0,1.5,0.225,0.4,@TerriChu Fear will make people say (and act) things they normally wouldn't say (or do). That's human nature. I hope in 2020 you're bracing for something that'll not happen. If it does don't be so quick to label the other person. Keep in mind fear is driving their behavior. #CoronaOutbreak,-0.175,True,-4,18,0,1,0,0,5,0.025,1,fear people act thing normally not human nature hope brace not happen not quick label person mind fear drive behavior coronaoutbreak,0.329,0.671,0.0,-0.8319,-0.08333333333333333
2020-01-26 22:08:12+00:00,"Wtf? Did I just heard it right on , that over 1000 ppl have landed in uk from coronarvirus quarantine area…",False,2,0,False,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,0.0,0.8,"RT @KassSunshine: Wtf? Did I just heard it right on @AndrewMarr9 , that over 1000 ppl have landed in uk from #coronarvirus quarantine area…",-0.8,False,-4,22,0,2,1,0,0,0.0277777777777777,1,wtf hear right people land uk coronarvirus quarantine area …,0.322,0.678,0.0,-0.5859,-0.10714285714285715
2020-01-26 18:46:42+00:00,"Nice tracking site for the coronavirus....however, I still think we are not being told the truth with regards to the of deaths. coronarvirus CoronaOutbreak CoronavirusOutbreak",False,0,1,False,1.0,2.5,1.0,1.0,1.0,4.5,1.0,4.0,4.0,5.0,0.075,0.675,"Nice tracking site for the coronavirus....however, I still think we are not being told the truth with regards to the # of deaths.

https://t.co/G0dfPacpGZ
#coronarvirus
#CoronaOutbreak #CoronavirusOutbreak",-0.6,False,-4,18,1,0,0,0,5,0.0333333333333333,4,nice tracking site coronavirushowever think not tell truth regard deaths coronarvirus coronaoutbreak coronavirusoutbreak,0.124,0.698,0.178,0.2115,0.6
2020-01-26 19:09:01+00:00,3 cases so far....and counting. I don’t trust Trump. I don’t trust the Chinese. CoronaOutbreak,False,0,0,False,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,0.0,0.8,@TheRynheart 3 cases so far....and counting. I don’t trust Trump. I don’t trust the Chinese. #CoronaOutbreak,-0.8,True,-4,19,0,1,0,0,7,0.0631578947368421,1,case farand count not trust trump not trust chinese coronaoutbreak,0.403,0.597,0.0,-0.6602,0.0
2020-01-26 22:07:50+00:00,"Look, I'm no ethicist &amp; the &amp; can do whatever the hell they want, but something seems wrong about hiding breaking news about a global pandemic behind a paywall &amp; then populating the top search results for coronarvirus with those publications. CoronaOutbreak",False,1,7,False,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,0.0,0.9,"Look, I'm no ethicist &amp; the @nytimes  &amp; @google can do whatever the hell they want, but something seems wrong about hiding breaking news about a global pandemic behind a paywall &amp; then populating the top search results for #coronarvirus with those publications.   #CoronaOutbreak",-0.9,False,-4,22,0,2,0,0,1,0.014760147601476,2,look ethicist hell want wrong hide break news global pandemic paywall populate search result coronarvirus publication coronaoutbreak,0.397,0.549,0.055,-0.8442,-0.25
2020-01-26 12:27:46+00:00,Can the Philippine government just suspend the visa or just banned all the Chinese from entering our country? I'm not being racist but if it's the only way that we can prevent the CoronaOutbreak . I'm not risking my life for those Chinese who looks like evacuating in PH.,False,1,6,False,1.0,2.0,1.5,1.0,1.0,5.0,1.0,3.5,5.0,4.5,0.075,0.7,Can the Philippine government just suspend the visa or just banned all the Chinese from entering our country? I'm not being racist but if it's the only way that we can prevent the #CoronaOutbreak . I'm not risking my life for those Chinese who looks like evacuating in PH.,-0.625,False,-4,12,0,0,1,0,2,0.0367647058823529,1,philippine government suspend visa ban chinese enter country not racist way prevent coronaoutbreak not risk life chinese look like evacuate ph,0.236,0.508,0.255,0.1431,0.0
2020-01-26 18:46:53+00:00,"Hmmmmmmmmmmmmm Looks like try as they may China cannot contain the CoronaOutbreak , I'm thinking the rest of the world will have better luck. It's truly disconcerting when the dumbest fuck on the planet, , says not to worry. Just like IranAttack now known TBIs",False,0,0,False,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.5,4.5,0.0,0.85,"Hmmmmmmmmmmmmm
Looks like try as they may China cannot contain the #CoronaOutbreak , I'm thinking the rest of the world will have better luck.
It's truly disconcerting when the dumbest fuck on the planet, @realDonaldTrump , says not to worry.
Just like #IranAttack now known TBIs",-0.85,False,-4,18,0,1,0,0,2,0.049618320610687,2,hm look like try china not contain coronaoutbreak think rest world luck truly disconcert dumb fuck planet not worry like iranattack know tbi,0.188,0.443,0.369,0.6711,-0.3875
2020-01-26 17:56:56+00:00,So now what??? We all need to come up with a solution unless this is truly helping populationcontrol I dont understand the hesitation for countries help decrease the spread of WuhanCoronavirus CoronaOutbreak,True,1,4,False,1.0,4.0,4.0,1.0,2.5,2.5,1.0,4.0,4.0,3.0,0.375,0.475,So now what???  We all need to come up with a solution unless this is truly helping #populationcontrol I dont understand the hesitation for countries help decrease the spread of #WuhanCoronavirus #CoronaOutbreak https://t.co/7tPtl7Kz43,-0.1,False,-4,17,1,0,3,0,0,0.0333333333333333,3,need come solution truly help populationcontrol not understand hesitation country help decrease spread wuhancoronavirus coronaoutbreak,0.0,0.446,0.554,0.8863,0.0
2020-01-26 16:42:18+00:00,I wish we can live in a calm and quiet world. coronavirus CoronaOutbreak,False,1,0,False,2.5,1.0,2.5,1.0,2.5,1.0,1.0,3.0,3.0,2.0,0.225,0.25,RT @rjrecierdo: I wish we can live in a calm and quiet world. #coronavirus #CoronaOutbreak,-0.025,False,-4,16,0,1,0,0,1,0.0405405405405405,2,wish live calm quiet world coronavirus coronaoutbreak,0.0,0.5,0.5,0.6124,0.14545454545454548
2020-01-26 18:55:12+00:00,Hello my fellow tweeties. I am dogsinbagz. I have radical political beliefs....and I hunt for dogs in bags. Behold! CoronaOutbreak dogsoftwitter dogs bags TrumpIsALoser babyforsale,False,0,0,False,1.0,1.0,2.0,2.5,1.0,3.5,1.0,1.0,1.0,1.0,0.125,0.125,Hello my fellow tweeties. I am dogsinbagz. I have radical political beliefs....and I hunt for dogs in bags. Behold! #CoronaOutbreak #dogsoftwitter #dogs #bags #TrumpIsALoser #babyforsale https://t.co/IQSpFPvtUE,0.0,False,-4,18,1,0,0,1,7,0.0591397849462365,6,hello fellow tweetie dogsinbagz radical political beliefsand hunt dog bag behold coronaoutbreak dogsoftwitter dog bag trumpisaloser babyforsale,0.0,1.0,0.0,0.0,0.0
